customer_id,customer_name,email,registration_date,customer_type,region_code
C0001,Brian Yang,johnsonjoshua@example.org,2023-08-21,VIP,EAST
C0002,Jonathan Johnson,garzaanthony@example.org,2024-04-11,VIP,NORTH
C0003,Kevin Pacheco,jennifermiles@example.com,2023-12-26,VIP,WEST
C0004,Christopher Bernard,blakeerik@example.com,2024-01-08,REGULAR,SOUTH
C0005,Lindsey Roman,curtis61@example.com,2023-08-24,VIP,SOUTH
C0006,Sandra Montgomery,yherrera@example.org,2025-11-06,REGULAR,WEST
C0007,Dylan Miller,barbara10@example.net,2023-07-14,REGULAR,WEST
C0008,Holly Wood,michellejames@example.com,2024-05-14,REGULAR,EAST
C0009,Lisa Jackson,elizabethmiles@example.net,2025-08-17,REGULAR,EAST
C0010,Colleen Nguyen,frankgray@example.net,2024-12-23,REGULAR,WEST
C0011,Austin Gentry,perezantonio@example.com,2025-08-14,REGULAR,CENTRAL
C0012,Derek Wright,jason76@example.net,2025-07-10,VIP,SOUTH
C0013,Zachary Taylor,julie69@example.com,2023-10-02,VIP,SOUTH
C0014,Christopher Becker,ddavis@example.org,2023-12-11,REGULAR,NORTH
C0015,Tricia Valencia,cruzcaitlin@example.com,2026-01-14,VIP,EAST
C0016,Patricia Peterson,frazierdanny@example.net,2025-06-27,REGULAR,EAST
C0017,Deborah Mason,ryan70@example.net,2023-11-24,VIP,SOUTH
C0018,Mark Lynch,williamrodriguez@example.net,2024-11-13,REGULAR,WEST
C0019,Linda Burns,nathanielmartin@example.net,2024-09-22,VIP,EAST
C0020,David Bradley,hickmannatasha@example.com,2023-10-23,REGULAR,NORTH
C0021,Kim Martinez,millertodd@example.org,2025-09-29,PREMIUM,NORTH
C0022,Lisa Brandt,karroyo@example.com,2025-04-05,REGULAR,WEST
C0023,Jessica Holmes,jenniferross@example.net,2026-01-25,REGULAR,EAST
C0024,Crystal Robinson,wrightcaleb@example.org,2024-12-20,VIP,CENTRAL
C0025,Shannon Jones,zimmermanbrian@example.org,2025-09-25,PREMIUM,SOUTH
C0026,Timothy Duncan,joshuawashington@example.net,2024-04-09,VIP,WEST
C0027,Brent Jordan,esanchez@example.com,2023-10-05,REGULAR,SOUTH
C0028,Victoria Garcia,ujenkins@example.org,2025-11-11,VIP,NORTH
C0029,Connor West,zchandler@example.org,2026-02-13,VIP,EAST
C0030,Angela Morton,dwhite@example.org,2023-07-24,VIP,NORTH
C0031,Tammy Allison,williamsyvette@example.org,2024-12-28,VIP,EAST
C0032,Carmen Smith,richardolson@example.com,2025-12-07,REGULAR,WEST
C0033,Michael Cross,ybakerexample.com,2024-12-21,VIP,SOUTH
C0034,Lauren Daniels,smoore@example.org,2024-02-03,VIP,EAST
C0035,Kim Brown,brian97@example.net,2026-05-05,VIP,SOUTH
C0036,Cynthia Wilson,yorkcasey@example.org,2024-05-26,VIP,CENTRAL
C0037,Kevin Mills,bethwilliams@example.org,2025-04-24,PREMIUM,NORTH
C0038,Michael Evans,james53@example.com,2025-07-13,PREMIUM,SOUTH
C0039,Kristine Garcia,sarah10@example.com,2023-12-09,REGULAR,WEST
C0040,Sherry Wood,williamanderson@example.com,2026-06-25,REGULAR,SOUTH
C0041,Victoria Valdez,samueldaniels@example.com,2024-06-03,PREMIUM,CENTRAL
C0042,Shawn Baker,contrerasangela@example.net,2025-11-13,REGULAR,CENTRAL
C0043,Michelle Harris,newtoneric@example.com,2024-08-15,VIP,EAST
C0044,Sandra Williams,william40@example.org,2025-08-03,PREMIUM,CENTRAL
C0045,Michael Hoffman,kellie42@example.net,2024-11-19,REGULAR,NORTH
C0046,Sandra Aguilar,jonesnicole@example.org,2024-10-14,VIP,SOUTH
C0047,Rebecca Valencia,russellwilliamsexample.com,2023-10-29,REGULAR,NORTH
C0048,Stacey Russell,jason31@example.com,2025-05-07,REGULAR,CENTRAL
C0049,Rita Keith,sarayoung@example.org,2026-03-21,REGULAR,CENTRAL
C0050,Sharon Cochran,whitesandra@example.com,2026-02-23,REGULAR,WEST
C0051,Courtney Velasquez,erik16@example.org,2024-07-24,REGULAR,NORTH
C0052,Matthew Ross,ybailey@example.org,2025-06-25,PREMIUM,WEST
C0053,Meghan Anthony,michelle45@example.net,2023-10-19,VIP,NORTH
C0054,Victoria Johnson,sheila14@example.org,2025-05-25,REGULAR,SOUTH
C0055,William Wilson,yreed@example.com,2026-01-04,REGULAR,WEST
C0056,Renee Mcdaniel,jonathanfletcher@example.org,2026-02-02,REGULAR,NORTH
C0057,Lisa Alvarado,michaeljones@example.net,2024-01-17,REGULAR,CENTRAL
C0058,Erika Terry,cortezkevin@example.com,2024-01-08,REGULAR,SOUTH
C0059,Stephanie Gilbert,jamesortega@example.com,2026-03-12,REGULAR,WEST
C0060,Richard Lawson,richard04@example.com,2024-06-02,PREMIUM,NORTH
C0061,Steven Flynn,steven73@example.net,2024-12-25,PREMIUM,EAST
C0062,Frances Cardenas,donnacampbell@example.net,2026-03-23,REGULAR,SOUTH
C0063,Angel Riggs,emilywalker@example.org,2023-10-28,VIP,CENTRAL
C0064,Michael Snyder,gibsonolivia@example.net,2025-04-03,REGULAR,NORTH
C0065,Colleen Brock,dylanwatts@example.org,2026-04-25,VIP,SOUTH
C0066,Robert Contreras,pwilliams@example.org,2026-05-06,REGULAR,SOUTH
C0067,Jessica Meadows,stephanie79@example.net,2023-11-17,VIP,SOUTH
C0068,Paul Larsen,vmerritt@example.com,2024-11-16,VIP,CENTRAL
C0069,Jeremiah Reeves,katie87@example.net,2023-12-15,PREMIUM,CENTRAL
C0070,Chris Reyes,josephflores@example.net,2025-04-08,PREMIUM,SOUTH
C0071,John Brown,jasminebrown@example.com,2025-04-04,REGULAR,EAST
C0072,Alicia Gilmore,xprice@example.net,2025-03-06,PREMIUM,EAST
