customer_id,customer_name,email,phone,dob,address,city,state,signup_date
CUS000895,Patrick Duran,ortegamatthew@example.org,(930) 417-7541,2005-04-13,099 Patterson Station,Garrettside,Georgia,2025-04-17
CUS000902,Jennifer Mack,david37@example.com,(759) 586-5707,1989-08-20,7235 Ryan Extension,Port Christina,Georgia,2022-12-10
CUS000903,Angela Miller,tara38@example.org,(200) 990-9395,2000-02-15,976 Dominic Land Apt. 646,Dixonberg,Ohio,2025-04-06
CUS000921,Mary Walker,jonathan19@example.org,(689) 133-6456,2006-06-10,914 Schwartz Causeway Suite 589,Noahborough,Louisiana,2025-09-23
CUS000927,Christopher Lee,alvaradoamanda@example.org,(192) 879-3289,1977-07-27,9305 Mikayla Locks Suite 492,New Ashleyport,Nevada,2024-05-30
CUS000933,Scott Delacruz,yhampton@example.com,(274) 847-016,1996-05-10,441 Carson Summit Apt. 105,East Markberg,Idaho,2025-07-09
CUS000964,Martin Bailey,kathyyoung@example.com,(506) 009-6990,2000-07-12,940 Amber Harbors Apt. 449,Rojasborough,Michigan,2025-01-14
CUS000890,Sara Davenport,amarks@example.org,(590) 751-1839,1966-08-31,536 Nunez Spurs Suite 510,Cynthiabury,Alaska,2023-01-22
CUS000899,Tammy Lee,william73@example.org,(968) 679-8008,1993-07-28,9697 Alex Cliffs,Watsonfort,Ohio,2021-08-16
CUS000931,Pamela Neal,ashley61@example.net,(506) 840-9158,2000-05-06,635 Tapia Vista Suite 935,Nicholasberg,Wyoming,2022-07-11
CUS000967,Raymond Diaz,mgarcia@example.com,(749) 463-9676,2001-10-21,43303 Amy Squares Suite 242,New Crystalland,Massachusetts,2023-04-09
CUS000978,Erin Torres,dianehill@example.com,(499) 657-99,1995-10-01,04341 Brewer Pine Apt. 821,New Josemouth,South Dakota,2023-02-02
CUS000980,Taylor Gates,tonya94@example.org,(628) 388-2867,1984-03-01,3547 Clayton Stream,Tylermouth,Minnesota,2025-03-28
CUS000996,Sandra Moore,moorecindy@example.org,(275) 916-2285,2000-05-30,941 Mark Fords,West Lisaview,California,2022-09-04
CUS000878,Ryan Holt,jonesjohn@example.com,(573) 204-7810,1978-02-18,1541 James Road,North Ericatown,West Virginia,2025-09-03
CUS000881,Michael Wright,benjamincampbell@example.org,(672) 640-7727,2004-08-20,518 Kelli Plain,Michaeltown,Maine,2024-08-02
CUS000894,Elizabeth Potts,cherylcampbell@example.org,(418) 625-8923,1986-01-26,245 Patel Island,Smithmouth,Illinois,2025-04-04
CUS000900,Caroline Smith,ronaldbuchanan@example.org,(903) 267-6595,1995-05-03,08615 Goodwin Lakes,Williamston,Texas,2025-09-25
CUS000907,Christopher Jones,summerhernandez@example.com,(308) 728-5804,1970-06-11,129 Hayley Tunnel,Stephanieburgh,Kansas,2025-07-20
CUS000909,Omar Duran,turnermary@example.org,(492) 763-5627,1992-01-20,4024 Bruce Viaduct,North Joseport,Wisconsin,2021-09-22
CUS000911,Maria Thomas,gabriel00@example.com,(342) 305-8426,1988-04-15,2668 Sullivan Radial Apt. 032,South Jennifer,Georgia,2025-07-23
CUS000940,Renee Crawford,ygallegos@example.net,(318) 317-5691,1991-04-05,032 Shane Stravenue Suite 540,Saramouth,Nevada,2025-06-17
CUS000943,Lauren Diaz,raymond68@example.com,(296) 594-016,1996-07-28,966 Jeremy Parkways Suite 830,Johnbury,Georgia,2025-02-18
CUS000962,Lydia Roberts,taylor18@example.net,(440) 748-8207,1990-08-07,74814 Martin Club Apt. 006,Lanemouth,Wisconsin,2023-06-05
CUS000998,Danielle Shelton,toni77@example.com,(434) 156-4958,1963-05-27,21019 Ayala Cliffs Apt. 602,Marcuschester,Wisconsin,2024-01-19
CUS000885,Laurie Wilson,carmenlozano@example.com,(764) 238-6937,2001-11-17,612 Mary Place Suite 346,Lake Robertochester,Georgia,2025-06-28
CUS000893,Melissa Miller,alexandergregory@example.com,(270) 065-3171,1994-05-04,546 Jasmine Mountains,East Chelsea,Montana,2026-05-18
CUS000897,Anthony Giles,dsoto@example.net,(596) 369-5428,2001-08-06,527 Mccoy Square,Angelahaven,Idaho,2026-01-28
CUS000898,Shawn Gonzalez,smithshannon@example.org,(283) 968-2480,1994-10-11,419 Tina Parkway,New Jesse,Nevada,2024-12-12
CUS000928,Anna Reyes,shelly85@example.net,(346) 913-9590,2006-01-18,85818 Cook Valleys Apt. 286,Amandahaven,Vermont,2022-09-03
CUS000929,Danny Hancock,kiddchristopher@example.net,(398) 313-5485,1970-07-06,07303 Peter Villages Suite 177,North Adambury,Hawaii,2023-11-27
CUS000934,Zachary Smith,zmcmillan@example.com,(363) 876-1305,1971-07-11,31648 Smith Junctions Suite 995,Brandonside,New York,2025-12-24
CUS000935,Tina Wall,lloydjonathan@example.net,(795) 373-6095,1987-06-03,884 Malone Creek Suite 875,North Jessicamouth,Vermont,2024-10-18
CUS000953,Juan Jacobs,bcarter@example.net,(959) 177-1223,1992-02-22,62751 Robert Hill,Andersonside,Montana,2026-02-07
CUS000955,Jonathan Deleon,olsondeborah@example.org,(504) 560-8869,1995-06-14,29552 Sarah Drives,South Stephen,Georgia,2025-11-02
CUS000973,Jonathan Warren,christinaruiz@example.net,(514) 836-4240,2003-06-28,790 Michelle Mission Apt. 652,Marshallborough,Wisconsin,2026-05-10
CUS000979,Chloe Ross,victoriajohnson@example.net,(784) 997-958,1960-07-23,027 Alan Squares,East Felicia,Idaho,2025-02-03
CUS000876,Kimberly Villanueva,austinwhite@example.org,(428) 324-812,1982-08-10,7539 Hunt Cliff Apt. 133,Jeffton,Pennsylvania,2025-04-22
CUS000880,Evelyn Saunders,conwaydon@example.org,(916) 545-8088,1965-10-02,0535 Cherry Stravenue,South Michael,Mississippi,2024-05-29
