customer_id,customer_name,email,phone,dob,address,city,state,signup_date
CUS000751,Jack Gibson,philipbell@example.org,4318847874,2002-07-07,61225 Scott Stream Suite 974,Potterstad,Oklahoma,2024-02-02
CUS000752,Deborah Medina,isellers@example.com,6662144958,1970-12-10,60904 Hill Mountain,South Troy,Indiana,2024-04-15
CUS000753,Daniel Boyd,markcruz@example.org,6704068908,2002-11-23,078 John Camp,Patriciahaven,Texas,2024-12-12
CUS000754,Yvette Garner,frederickjacob@example.org,2013305124,1980-09-28,3166 Benjamin Crescent Suite 591,New Tamarashire,Alaska,2026-05-08
CUS000755,Sara Mullen,fclark@example.com,9916460954,1966-02-26,532 Mallory Cliff Apt. 422,Michelleview,North Carolina,2023-10-14
CUS000756,William Bennett,megan26@example.net,4714456765,1963-09-10,637 Mcknight Unions,East Kennethtown,Montana,2022-09-21
CUS000757,Andrea Cooper,parrishheather@example.org,8543505055,1988-05-04,8289 Brian Fork,West Johnmouth,Indiana,2023-10-31
CUS000758,Corey Barajas,amanda79@example.com,2013185597,1991-10-18,81990 Perry Haven,Port Allenhaven,Illinois,2023-07-06
CUS000759,Eric Wilson,baldwinjose@example.net,2302547998,1994-07-17,478 Howell Road,South Paulamouth,Rhode Island,2023-01-23
CUS000760,Jennifer Rhodes,emilyporter@example.net,9089274253,1985-10-28,17905 Janice Creek Suite 344,Jenniferland,Idaho,2021-10-23
CUS000761,Sharon Garcia,karen79@example.org,9498416525,1983-01-31,358 Keith Brooks Apt. 154,New Judith,West Virginia,2021-07-19
CUS000762,Michael Frazier,johnmartin@example.net,6137119044,1970-01-11,66311 Stephanie Corners Apt. 476,West Heidi,Michigan,2024-11-25
CUS000763,Tara Sullivan,tracyjones@example.net,8993058866,2004-01-06,6085 Kim Meadows,Lake Becky,West Virginia,2021-12-20
CUS000764,Jackie Mack,mary70@example.org,0774266735,1989-06-02,88737 Cooper Mills Suite 142,North Chloe,South Carolina,2022-08-30
CUS000765,Leslie Miller,eherrera@example.net,8618049661,1987-11-11,892 Mendez Camp Suite 537,Shannonstad,Nevada,2025-02-27
CUS000766,Steve Parker,dawn90@example.net,7677306961,1971-12-07,8135 Smith Ports,Danielborough,Alabama,2025-03-04
CUS000767,Elizabeth Perez,jonesjohn@example.com,7039317795,1966-01-02,1820 Leslie Views,West Pamelamouth,Massachusetts,2024-12-09
CUS000768,Debbie Anderson,elizabeth09@example.org,1403192060,1967-12-14,91184 Anthony Shores Suite 672,Port Gregoryland,Nebraska,2022-05-31
CUS000769,Holly Gibson,salinasnatalie@example.org,8544292217,1984-09-08,330 Corey Fords Suite 602,Lake Meghanmouth,Tennessee,2023-05-21
CUS000770,Jennifer Short,douglas47@example.net,9941959078,1994-11-18,25081 Rosario Row Apt. 096,Port Dennisborough,Hawaii,2024-07-06
CUS000771,Donald Martinez,rlarson@example.org,5384525008,1981-11-10,419 David Unions Apt. 138,Dennisfort,Illinois,2025-06-26
