customer_id,customer_name,email,phone,dob,address,city,state,signup_date
CUS000251,James Wright,christina44@example.org,4255564600,1994-11-01,767 Green Summit,Matthewsview,Nevada,2023-01-23
CUS000252,Angela Torres,ericalewis@example.net,5077296264,2006-09-25,51035 Timothy Fords Suite 162,Davidfort,Texas,2022-11-05
CUS000253,Stephanie Stokes,obowen@example.com,6469121969,1988-05-13,7247 Jodi Inlet,East Ryan,Virginia,2022-08-23
CUS000254,Wanda Stewart,jamiewilliams@example.net,151397251,2003-05-08,2670 Clarke Isle,Danielshire,North Carolina,2024-07-16
CUS000255,Dale Johnson,luis53@example.com,3647946451,1983-11-12,3811 Ware Garden,Ryanland,New Jersey,2026-04-11
CUS000256,Gerald Dunn,bushchristopher@example.org,5793590188,1997-06-07,25667 Smith Passage Apt. 791,Sparksbury,New Hampshire,2024-08-24
CUS000257,Maureen Hansen,sanchezmichael@example.org,2325089534,1980-07-20,108 Tyler Mount,Brownland,Idaho,2024-02-16
CUS000258,Carlos Smith,reidjoseph@example.net,9858197203,1986-07-14,630 Karen Gateway Suite 622,North Joshua,Texas,2025-04-05
CUS000259,Shannon Johnson,fernandezmichael@example.net,6994830461,1983-02-21,00144 Michelle Motorway Suite 978,North Donald,Arizona,2025-05-30
CUS000260,Kathleen Mckinney,perkinstaylor@example.net,6999448004,1962-10-29,6130 Mills Wells Apt. 652,East Jasonborough,Massachusetts,2024-05-28
CUS000261,Alexander Lambert,jacob51@example.org,3686403801,2003-02-12,242 Jackson Wells,Lake Saraburgh,Wisconsin,2024-06-25
CUS000262,Arthur Garcia,samantha10@example.org,2712894884,1987-11-20,208 Jackson Flat,Caldwellburgh,Connecticut,2023-12-10
CUS000263,Matthew White,pfry@example.net,2830285315,2007-11-27,5824 Angela Cove Apt. 300,South Davidmouth,North Carolina,2023-08-07
CUS000264,Brandon Cantu,cward@example.com,9367259856,1978-10-14,184 Dawson Route,Smithshire,Massachusetts,2023-03-23
CUS000265,Patricia Bailey,renglish@example.org,1503822380,1964-10-28,95092 Joseph Point,North Robert,Alaska,2024-01-01
CUS000266,Adam Carroll,patrick33@example.net,2249388933,2001-08-05,97571 Kimberly Oval Suite 910,Reneeberg,Michigan,2025-03-01
CUS000267,Jill Marsh,qmacdonald@example.org,2945685499,1996-03-04,1231 Cruz Row Apt. 901,Waltonborough,Maine,2026-05-11
CUS000268,Tyler Walters,justingregory@example.net,7347349759,2005-12-16,56958 Jennifer Pike,West Edward,Indiana,2025-04-13
CUS000269,Anthony Smith,kevinmcmillan@example.com,5158596200,1979-06-06,80646 Jonathan Shoal,Stewartfurt,South Dakota,2022-09-09
