city,state,signup_date,customer_name,email,phone,address,customer_token,age,age_band
Garrettside,Georgia,2025-04-17,P***,o***@example.org,(XXX) XXX-7541,*** Station,c3780ea3a898853ea26190eb9fe10565105d727e319a1efb7eedabe68aa429a0,21,18-24
Port Christina,Georgia,2022-12-10,J***,d***@example.com,(XXX) XXX-5707,*** Extension,059157b594bcb84ff4a678c085cff50b2e6831bb7e2825b1f4ef619576c54382,36,35-44
Dixonberg,Ohio,2025-04-06,A***,t***@example.org,(XXX) XXX-9395,*** 646,c17d0b894ee6e9ec0bd8a6f1d3169c9a667c7eade6368352ca25959d76b22173,26,25-34
Noahborough,Louisiana,2025-09-23,M***,j***@example.org,(XXX) XXX-6456,*** 589,b8eabf7ca6bcbfe26a85e07d34b7edbb6dab848a1b3f1afcc81d55bcc2c75e72,20,18-24
New Ashleyport,Nevada,2024-05-30,C***,a***@example.org,(XXX) XXX-3289,*** 492,e3b5aa12f1c61556899d577b4d0e061fa9d312ee9e3fe934fe46fe835ecbe8b8,48,45-54
East Markberg,Idaho,2025-07-09,S***,y***@example.com,(XXX) XXX--016,*** 105,a4ef8eaeec66b75ffa0b1282226b7731229caa103f4aacfcd907adbb2dce76c9,30,25-34
Rojasborough,Michigan,2025-01-14,M***,k***@example.com,(XXX) XXX-6990,*** 449,db3d289f1d9ba19d374754b32c8775f5d4edad6fce2c4e41c22e1638945f5c15,26,25-34
Cynthiabury,Alaska,2023-01-22,S***,a***@example.org,(XXX) XXX-1839,*** 510,582502e24e9b760584992edc5c561dca0f72405f05140e7077f552ff537b2ad8,59,55+
Watsonfort,Ohio,2021-08-16,T***,w***@example.org,(XXX) XXX-8008,*** Cliffs,8a7528d63792e9324e71467d8c045542f8ef1aade2f694b27126c273c8e316b1,32,25-34
Nicholasberg,Wyoming,2022-07-11,P***,a***@example.net,(XXX) XXX-9158,*** 935,b862f46af6ce259031e1f014b06d6ad7b8f2f1014ba79798ef8354c2a449a6a9,26,25-34
New Crystalland,Massachusetts,2023-04-09,R***,m***@example.com,(XXX) XXX-9676,*** 242,7dccd6dc32832f8f09b29ea83e62f1b32d5b5949344aaad9b051f9339f4a2b66,24,18-24
New Josemouth,South Dakota,2023-02-02,E***,d***@example.com,(XXX) XXX-7-99,*** 821,718cf77de09f66ad11fe0196cb764cb32fa7877b99ddf95128ae11b5e6bf4a1b,30,25-34
